dataset,delta_nDCG@10,delta_MRR@10,delta_Recall@10,bm25_avg_time_sec,bge_avg_time_sec,time_ratio_bge_vs_bm25,candidate_recall@100,wilcoxon_p_value_nDCG@10,wilcoxon_significant_0_05,conclusion
NF-Corpus,0.002303234573502899,0.01832768194997303,-0.009395071427566959,0.0042633233715183095,3.0413384212352663,713.3726804664469,0.23593575733867203,0.9507746737572395,False,melhorou
SciFact,0.04302476934998278,0.050829365079365196,0.027833333333333488,0.024356026446679002,3.070878911233325,126.08291906548024,0.8730555555555556,0.00046646757258089,True,melhorou
TREC-COVID,0.06662600849253131,0.11352380952380947,0.0010484681655864858,0.9838419497000541,3.906376155800026,3.9705322150483324,0.09357016333843252,0.008778432021222672,True,melhorou
