dataset,metric,BM25,BM25 + BGE-Reranker,delta_abs,delta_pct
NF-Corpus,nDCG@10,0.3063166634178476,0.3086198979913505,0.002303234573502899,0.751912921681655
NF-Corpus,MRR@10,0.5089709568037741,0.5272986387537472,0.01832768194997303,3.6009288359137126
NF-Corpus,Recall@10,0.15215322723953334,0.14275815581196638,-0.009395071427566959,-6.174743446470833
SciFact,nDCG@10,0.6518925893260478,0.6949173586760305,0.04302476934998278,6.599978286984898
SciFact,MRR@10,0.6186150793650793,0.6694444444444445,0.050829365079365196,8.21663854872958
SciFact,Recall@10,0.7739999999999999,0.8018333333333334,0.027833333333333488,3.5960378983635
TREC-COVID,nDCG@10,0.5768166504188801,0.6434426589114114,0.06662600849253131,11.550638915181798
TREC-COVID,MRR@10,0.758,0.8715238095238095,0.11352380952380947,14.976755873853493
TREC-COVID,Recall@10,0.015292739774515774,0.01634120794010226,0.0010484681655864858,6.855986442231109
