dataset,pipeline,query_id,query_text,elapsed_sec,ndcg@5,mrr@5,recall@5,map@5,ndcg@10,mrr@10,recall@10,map@10,ndcg@20,mrr@20,recall@20,map@20,ndcg,mrr,recall,map
NF-Corpus,BM25,PLAIN-913,cinnamon,0.0013727470004596398,1.0,1.0,0.14705882352941177,1.0,0.933745776545611,1.0,0.2647058823529412,0.89,0.6026090359449108,1.0,0.2647058823529412,0.445,0.933745776545611,1.0,0.2647058823529412,0.89
NF-Corpus,BM25,PLAIN-924,cocaine,0.0015304850003303727,0.3391602052736161,1.0,0.03125,0.2,0.22009176629808017,1.0,0.03125,0.1,0.1420400396336573,1.0,0.03125,0.05,0.22009176629808017,1.0,0.03125,0.1
NF-Corpus,BM25,PLAIN-934,coffee,0.0014146619996608933,0.7860137352654724,1.0,0.039603960396039604,0.6433333333333333,0.7975167679274937,1.0,0.07920792079207921,0.6671031746031746,0.725994852583205,1.0,0.13861386138613863,0.5538857560568086,0.7975167679274937,1.0,0.07920792079207921,0.6671031746031746
NF-Corpus,BM25,PLAIN-946,coma,0.0012604300000020885,0.48522855511632257,1.0,0.06451612903225806,0.3,0.31488013066763093,1.0,0.06451612903225806,0.15,0.2032133550116892,1.0,0.06451612903225806,0.075,0.31488013066763093,1.0,0.06451612903225806,0.15
NF-Corpus,BM25,PLAIN-956,cooking methods,0.00246940299984999,0.27727342735504823,0.25,0.009708737864077669,0.13,0.3882047626431879,0.25,0.024271844660194174,0.2094444444444444,0.42756466802206894,0.25,0.04854368932038835,0.2333107389686337,0.3882047626431879,0.25,0.024271844660194174,0.2094444444444444
NF-Corpus,BM25,PLAIN-966,cortisol,0.001520408999567735,0.0,0.0,0.0,0.0,0.14126697285982898,0.1111111111111111,0.3333333333333333,0.037037037037037035,0.14126697285982898,0.1111111111111111,0.3333333333333333,0.037037037037037035,0.14126697285982898,0.1111111111111111,0.3333333333333333,0.037037037037037035
NF-Corpus,BM25,PLAIN-977,crib death,0.002289672999722825,0.0,0.0,0.0,0.0,0.14126697285982898,0.1111111111111111,0.3333333333333333,0.037037037037037035,0.14126697285982898,0.1111111111111111,0.3333333333333333,0.037037037037037035,0.14126697285982898,0.1111111111111111,0.3333333333333333,0.037037037037037035
NF-Corpus,BM25,PLAIN-987,cumin,0.001529827999547706,0.23463936301137822,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.23463936301137822,0.3333333333333333,0.3333333333333333,0.1111111111111111
NF-Corpus,BM25,PLAIN-997,Czechoslovakia,0.0011499759993967018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,BM25,PLAIN-1008,deafness,0.0013933219997852575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,BM25,PLAIN-1018,DHA,0.0017344699999739532,0.3156484524795145,0.3333333333333333,0.03333333333333333,0.16666666666666666,0.4922818839877925,0.3333333333333333,0.1,0.3196428571428571,0.3560872923294495,0.3333333333333333,0.11666666666666667,0.18898809523809523,0.4922818839877925,0.3333333333333333,0.1,0.3196428571428571
NF-Corpus,BM25,PLAIN-1028,dietary scoring,0.0028359139996609883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,BM25,PLAIN-1039,domoic acid,0.0023176570002760855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NF-Corpus,BM25,PLAIN-1050,Dr. Dean Ornish,0.003408247999686864,0.0,0.0,0.0,0.0,0.06362078819895171,0.1,0.010638297872340425,0.01,0.04105877938688906,0.1,0.010638297872340425,0.005,0.06362078819895171,0.1,0.010638297872340425,0.01
NF-Corpus,BM25,PLAIN-1066,Dr. Walter Willett,0.00356164799995895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,BM25,PLAIN-1088,ECMO,0.0015726680003353977,0.5531464700081437,1.0,0.4,0.4,0.5531464700081437,1.0,0.4,0.4,0.5531464700081437,1.0,0.4,0.4,0.5531464700081437,1.0,0.4,0.4
NF-Corpus,BM25,PLAIN-1098,eggnog,0.0013840769997841562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,BM25,PLAIN-1109,endocrine disruptors,0.002598267999928794,0.7227265726449519,1.0,0.030612244897959183,0.6,0.6046855387118412,1.0,0.05102040816326531,0.40555555555555556,0.5301495268925802,1.0,0.09183673469387756,0.2966880341880342,0.6046855387118412,1.0,0.05102040816326531,0.40555555555555556
