dataset_pipeline,nDCG@10,MRR@10,Recall@10,MAP@10,avg_time_sec
NF-Corpus | BM25,0.3063166634178476,0.5089709568037741,0.15215322723953334,0.2190009015302027,0.0042633233715183095
NF-Corpus | BM25 + BGE-Reranker,0.3086198979913505,0.5272986387537472,0.14275815581196638,0.21934006058563774,3.0413384212352663
SciFact | BM25,0.6518925893260478,0.6186150793650793,0.7739999999999999,0.6069746031746032,0.024356026446679002
SciFact | BM25 + BGE-Reranker,0.6949173586760305,0.6694444444444445,0.8018333333333334,0.6541265873015873,3.070878911233325
TREC-COVID | BM25,0.5768166504188801,0.758,0.015292739774515774,0.5232023809523809,0.9838419497000541
TREC-COVID | BM25 + BGE-Reranker,0.6434426589114114,0.8715238095238095,0.01634120794010226,0.6056492063492063,3.906376155800026
