dataset,query_id,bm25_ndcg,bm25_mrr,bm25_recall,bm25_map,reranker_ndcg,reranker_mrr,reranker_recall,reranker_map,delta_nDCG@10,delta_MRR@10,delta_Recall@10,delta_MAP@10
NF-Corpus,PLAIN-1940,0.3589542101716347,1.0,0.16666666666666666,0.2,0.33013764944712026,1.0,0.16666666666666666,0.16666666666666666,-0.02881656072451444,0.0,0.0,-0.033333333333333354
NF-Corpus,PLAIN-1950,0.2489083270225946,0.5,0.15384615384615385,0.11666666666666665,0.2489083270225946,0.5,0.15384615384615385,0.11666666666666665,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-1983,1.0,1.0,0.3125,1.0,1.0,1.0,0.3125,1.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2009,0.12647135138382856,0.3333333333333333,0.125,0.041666666666666664,0.12647135138382856,0.3333333333333333,0.125,0.041666666666666664,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2019,0.46927872602275644,1.0,0.3333333333333333,0.3333333333333333,0.46927872602275644,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2030,0.30260241349881345,1.0,0.16666666666666666,0.16666666666666666,0.19092086617893467,0.5,0.16666666666666666,0.08333333333333333,-0.11168154731987878,-0.5,0.0,-0.08333333333333333
NF-Corpus,PLAIN-2040,0.7573821447149967,1.0,0.05303030303030303,0.5880952380952381,0.8630152897016883,1.0,0.06060606060606061,0.7763888888888889,0.10563314498669163,0.0,0.007575757575757576,0.1882936507936508
NF-Corpus,PLAIN-2051,0.7133080652109929,1.0,0.01971830985915493,0.5297619047619049,0.5388856921828065,1.0,0.011267605633802818,0.355,-0.17442237302818642,0.0,-0.008450704225352114,-0.1747619047619049
NF-Corpus,PLAIN-2061,0.933745776545611,1.0,0.02195121951219512,0.89,1.0,1.0,0.024390243902439025,1.0,0.06625422345438903,0.0,0.0024390243902439046,0.10999999999999999
NF-Corpus,PLAIN-2071,0.5810820381115676,1.0,0.1111111111111111,0.36714285714285716,0.43828689407543014,1.0,0.08888888888888889,0.21749999999999997,-0.1427951440361374,0.0,-0.022222222222222213,-0.1496428571428572
NF-Corpus,PLAIN-2081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2092,0.6489315753318465,1.0,0.5,0.5,0.6489315753318465,1.0,0.5,0.5,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2102,0.5352543167750639,1.0,0.009501187648456057,0.34444444444444444,0.7065632165480471,1.0,0.0166270783847981,0.5164285714285715,0.17130889977298325,0.0,0.007125890736342042,0.17198412698412702
NF-Corpus,PLAIN-2113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2124,0.3589542101716347,1.0,0.11764705882352941,0.2,0.3589542101716347,1.0,0.11764705882352941,0.2,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2145,0.1482972305701491,0.5,0.1111111111111111,0.05555555555555555,0.11752277470724268,0.3333333333333333,0.1111111111111111,0.037037037037037035,-0.03077445586290642,-0.16666666666666669,0.0,-0.018518518518518517
NF-Corpus,PLAIN-2156,0.644824486427155,1.0,0.5,0.5,0.644824486427155,1.0,0.5,0.5,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2177,0.29727159644205703,0.5,0.125,0.13,0.2973694836145356,0.5,0.125,0.13285714285714284,9.788717247855017e-05,0.0,0.0,0.002857142857142836
NF-Corpus,PLAIN-2187,0.38334277998463445,1.0,0.2222222222222222,0.2222222222222222,0.38334277998463445,1.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2197,0.857980942822373,1.0,0.13793103448275862,0.7621031746031746,0.8415908474314976,1.0,0.13793103448275862,0.7254365079365078,-0.016390095390875437,0.0,0.0,-0.036666666666666736
NF-Corpus,PLAIN-2209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2220,0.23504554941448536,1.0,0.1111111111111111,0.1111111111111111,0.23504554941448536,1.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2240,0.5517854393872873,1.0,0.45454545454545453,0.3480952380952381,0.6172839611614819,1.0,0.45454545454545453,0.4383333333333333,0.06549852177419457,0.0,0.0,0.09023809523809517
NF-Corpus,PLAIN-2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2261,0.44903378752009243,0.5,0.08333333333333333,0.2571428571428571,0.715550648768261,1.0,0.1,0.569047619047619,0.2665168612481686,0.5,0.016666666666666677,0.3119047619047619
NF-Corpus,PLAIN-2271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2291,0.45221360703148816,1.0,0.4,0.2571428571428571,0.3391602052736161,1.0,0.2,0.2,-0.11305340175787204,0.0,-0.2,-0.057142857142857106
NF-Corpus,PLAIN-2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2332,0.5100691314582919,1.0,0.041237113402061855,0.32166666666666666,0.2934556883974402,1.0,0.020618556701030927,0.12857142857142856,-0.21661344306085173,0.0,-0.020618556701030927,-0.1930952380952381
NF-Corpus,PLAIN-2343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2354,0.5087403079104241,1.0,0.4,0.3333333333333333,0.5531464700081437,1.0,0.4,0.4,0.044406162097719526,0.0,0.0,0.06666666666666671
NF-Corpus,PLAIN-2364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2430,0.43735247915031,1.0,0.06521739130434782,0.25,0.32628411331784235,1.0,0.06521739130434782,0.16999999999999998,-0.11106836583246765,0.0,0.0,-0.08000000000000002
NF-Corpus,PLAIN-2440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2450,0.31488013066763093,1.0,0.05263157894736842,0.15,0.21222636597291458,0.5,0.05263157894736842,0.07857142857142857,-0.10265376469471635,-0.5,0.0,-0.07142857142857142
NF-Corpus,PLAIN-2460,0.11496943328345773,0.25,0.03225806451612903,0.025,0.0,0.0,0.0,0.0,-0.11496943328345773,-0.25,-0.03225806451612903,-0.025
NF-Corpus,PLAIN-2470,0.17796717146275912,0.3333333333333333,0.0273972602739726,0.06190476190476191,0.08421358772610596,0.125,0.0136986301369863,0.0125,-0.09375358373665316,-0.20833333333333331,-0.0136986301369863,-0.04940476190476191
NF-Corpus,PLAIN-2480,0.24499213955129534,0.5,0.16666666666666666,0.10500000000000001,0.27627434425312153,1.0,0.1111111111111111,0.15,0.03128220470182619,0.5,-0.05555555555555555,0.044999999999999984
NF-Corpus,PLAIN-2490,0.5386485824602897,1.0,0.13043478260869565,0.26,0.08421358772610596,0.125,0.043478260869565216,0.0125,-0.4544349947341837,-0.875,-0.08695652173913043,-0.2475
NF-Corpus,PLAIN-2500,0.059872671137193724,0.125,0.14285714285714285,0.017857142857142856,0.0,0.0,0.0,0.0,-0.059872671137193724,-0.125,-0.14285714285714285,-0.017857142857142856
NF-Corpus,PLAIN-2510,0.8318477135310893,1.0,0.17391304347826086,0.696111111111111,0.6949584342635219,1.0,0.15217391304347827,0.5684920634920634,-0.13688927926756744,0.0,-0.021739130434782594,-0.12761904761904763
NF-Corpus,PLAIN-2520,0.12468135197397451,0.25,0.0410958904109589,0.1025,0.03668196104968002,0.14285714285714285,0.0136986301369863,0.014285714285714285,-0.08799939092429448,-0.10714285714285715,-0.0273972602739726,-0.0882142857142857
NF-Corpus,PLAIN-2530,0.9276737537834677,1.0,0.1388888888888889,1.0,0.9608008655106622,1.0,0.1388888888888889,1.0,0.033127111727194514,0.0,0.0,0.0
NF-Corpus,PLAIN-2540,0.2615385214652794,1.0,0.09523809523809523,0.12222222222222223,0.25514691744452866,0.3333333333333333,0.14285714285714285,0.0919047619047619,-0.00639160402075073,-0.6666666666666667,0.047619047619047616,-0.030317460317460326
NF-Corpus,PLAIN-2550,0.2177688329362056,0.2,0.12,0.0819047619047619,0.09858350785990916,0.2,0.04,0.02,-0.11918532507629645,0.0,-0.07999999999999999,-0.06190476190476189
NF-Corpus,PLAIN-2560,0.78180487222265,1.0,0.3333333333333333,0.6468253968253967,0.9363792118010483,1.0,0.42857142857142855,0.9,0.15457433957839828,0.0,0.09523809523809523,0.2531746031746033
NF-Corpus,PLAIN-2570,0.15423215925316425,0.5,0.025,0.05,0.12222609441075938,0.3333333333333333,0.025,0.03333333333333333,-0.03200606484240487,-0.16666666666666669,0.0,-0.01666666666666667
NF-Corpus,PLAIN-2580,0.37456050428247883,1.0,0.08695652173913043,0.16666666666666666,0.36417417493582804,1.0,0.08695652173913043,0.15,-0.010386329346650791,0.0,0.0,-0.016666666666666663
NF-Corpus,PLAIN-2590,0.032855541833552986,0.1,0.015873015873015872,0.01,0.10578209385344112,0.3333333333333333,0.031746031746031744,0.08333333333333333,0.07292655201988812,0.2333333333333333,0.015873015873015872,0.07333333333333333
NF-Corpus,PLAIN-2600,0.1976921351711604,0.2,0.2,0.045,0.4590828233913731,1.0,0.2,0.2,0.26139068822021266,0.8,0.0,0.15500000000000003
NF-Corpus,PLAIN-2610,0.28952298823485745,1.0,0.03278688524590164,0.2,0.30523488393970116,1.0,0.03278688524590164,0.13999999999999999,0.015711895704843715,0.0,0.0,-0.060000000000000026
NF-Corpus,PLAIN-2620,0.2626633251188907,1.0,0.03636363636363636,0.13999999999999999,0.09478836436955078,0.25,0.01818181818181818,0.025,-0.16787496074933989,-0.75,-0.01818181818181818,-0.11499999999999999
NF-Corpus,PLAIN-2630,0.4440973278132557,1.0,0.0625,0.26,0.4690000933206748,1.0,0.0625,0.3,0.0249027655074191,0.0,0.0,0.03999999999999998
NF-Corpus,PLAIN-2640,0.6009053751727895,1.0,0.16666666666666666,0.8,0.5649560431113374,1.0,0.14583333333333334,0.6366666666666667,-0.03594933206145212,0.0,-0.020833333333333315,-0.16333333333333333
NF-Corpus,PLAIN-2650,0.5036067026046991,1.0,0.13793103448275862,0.29444444444444445,0.3714891073940902,1.0,0.10344827586206896,0.1733333333333333,-0.1321175952106089,0.0,-0.034482758620689655,-0.12111111111111114
NF-Corpus,PLAIN-2660,0.1610425878239398,0.25,0.07407407407407407,0.04722222222222222,0.22009176629808017,1.0,0.037037037037037035,0.1,0.059049178474140374,0.75,-0.037037037037037035,0.052777777777777785
NF-Corpus,PLAIN-2670,0.2996484034259831,1.0,0.02857142857142857,0.1,0.44947260513897463,1.0,0.05714285714285714,0.16666666666666666,0.14982420171299154,0.0,0.02857142857142857,0.06666666666666665
NF-Corpus,PLAIN-2680,0.2705340951674102,0.5,0.14285714285714285,0.1,0.45263779293556244,0.5,0.2857142857142857,0.20666666666666664,0.18210369776815222,0.0,0.14285714285714285,0.10666666666666663
NF-Corpus,PLAIN-2690,0.06943122193677727,0.5,0.023255813953488372,0.05,0.28952298823485745,1.0,0.046511627906976744,0.2,0.2200917662980802,0.5,0.023255813953488372,0.15000000000000002
NF-Corpus,PLAIN-2700,0.1890570933316362,0.5,0.1,0.05,0.3495898039969803,1.0,0.2,0.12857142857142856,0.1605327106653441,0.5,0.1,0.07857142857142856
NF-Corpus,PLAIN-2710,0.5304677109628313,1.0,0.14285714285714285,0.25,0.617085055228343,1.0,0.19047619047619047,0.4,0.08661734426551171,0.0,0.047619047619047616,0.15000000000000002
NF-Corpus,PLAIN-2720,0.11827022936881551,0.2,0.05555555555555555,0.042222222222222223,0.2503878245794244,0.5,0.08333333333333333,0.11666666666666665,0.13211759521060887,0.3,0.027777777777777776,0.07444444444444442
NF-Corpus,PLAIN-2730,0.31400945942777175,0.3333333333333333,0.13793103448275862,0.14952380952380953,0.7228077339137017,1.0,0.20689655172413793,0.4864285714285714,0.4087982744859299,0.6666666666666667,0.06896551724137931,0.3369047619047618
NF-Corpus,PLAIN-2740,0.45545502446461517,0.5,0.08,0.23166666666666663,0.6563570285653477,1.0,0.1,0.3726984126984127,0.20090200410073256,0.5,0.020000000000000004,0.14103174603174606
NF-Corpus,PLAIN-2750,0.5238775486533084,1.0,0.0847457627118644,0.43809523809523804,0.4368930294863806,0.5,0.11864406779661017,0.4916666666666667,-0.08698451916692779,-0.5,0.03389830508474577,0.05357142857142866
NF-Corpus,PLAIN-2760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2770,0.3820564381065627,1.0,0.07317073170731707,0.24166666666666664,0.0,0.0,0.0,0.0,-0.3820564381065627,-1.0,-0.07317073170731707,-0.24166666666666664
NF-Corpus,PLAIN-2780,0.39574283478664835,1.0,0.18181818181818182,0.3194444444444445,0.4224063617563604,1.0,0.18181818181818182,0.29444444444444445,0.02666352696971208,0.0,0.0,-0.025000000000000022
NF-Corpus,PLAIN-2790,0.642186726668901,1.0,0.0847457627118644,0.4833333333333333,0.6489315753318465,1.0,0.0847457627118644,0.5,0.006744848662945557,0.0,0.0,0.01666666666666672
NF-Corpus,PLAIN-2800,0.13998627114565382,0.16666666666666666,0.08333333333333333,0.03666666666666667,0.09020315758404258,0.1111111111111111,0.041666666666666664,0.01111111111111111,-0.049783113561611234,-0.05555555555555555,-0.041666666666666664,-0.025555555555555557
NF-Corpus,PLAIN-2810,0.05854439592831931,0.16666666666666666,0.125,0.020833333333333332,0.0,0.0,0.0,0.0,-0.05854439592831931,-0.16666666666666666,-0.125,-0.020833333333333332
NF-Corpus,PLAIN-2820,0.0,0.0,0.0,0.0,0.11671218210122507,0.1,0.125,0.0125,0.11671218210122507,0.1,0.125,0.0125
NF-Corpus,PLAIN-2830,0.31939394323979897,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.31939394323979897,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2860,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2870,0.07623986638854101,0.1111111111111111,0.2,0.02222222222222222,0.0,0.0,0.0,0.0,-0.07623986638854101,-0.1111111111111111,-0.2,-0.02222222222222222
NF-Corpus,PLAIN-2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2890,0.15537907391531905,0.25,0.034482758620689655,0.025,0.113813114479808,0.125,0.034482758620689655,0.0125,-0.04156595943551104,-0.125,0.0,-0.0125
NF-Corpus,PLAIN-2900,0.08879873949105598,0.125,0.08333333333333333,0.0125,0.2814853444092611,1.0,0.08333333333333333,0.1,0.1926866049182051,0.875,0.0,0.08750000000000001
NF-Corpus,PLAIN-2910,0.20436662668128655,0.5,0.06666666666666667,0.05,0.20436662668128655,0.5,0.06666666666666667,0.05,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2930,0.3607790370815594,1.0,0.07142857142857142,0.1,0.3607790370815594,1.0,0.07142857142857142,0.1,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF-Corpus,PLAIN-2950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
